Min.,1st Qu.,Median,Mean,3rd Qu.,Max.,
0,0,0,0.4859,1,18,RI
0,0,0,0.5006,1,6,RI.sim
0,0,0,0.09417,0,9,RE
0,0,0,0.09723,0,3,RE.sim
0,0,0,0.1212,0,19,PE
0,0,0,0.1184,0,4,PE.sim
0,0,0,0.3005,1,26,PI
0,0,0,0.3031,1,4,PI.sim
